case_id,round,layer,category,priority,lang,sources,req_types,target,suggested_executor,executor,status,verdict,failure_category,llm_model,executed_at,reviewer,reviewed_at,screenshot_count,completeness_pct,issue_count,updated_at
ss_arxiv_001,1,single_source,paper,P0,EN,arxiv,paper,检索 robot grasping 的论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:19:19+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_arxiv_002,1,single_source,paper,P1,EN,arxiv,paper,检索 dexterous manipulation 灵巧操作的论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:19:50+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_arxiv_003,1,single_source,paper,P1,EN,arxiv,paper,检索 robot grasping 仿真的论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:20:19+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_arxiv_004,1,single_source,paper,P1,ZH,arxiv,paper,检索机器人触觉感知抓取论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:20:48+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_arxiv_005,1,single_source,paper,P2,EN,arxiv,paper,检索 robot grasping 综述论文,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:21:19+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_github_001,1,single_source,code,P0,EN,github,code,检索 Franka 抓取开源仓库,C,C,已判定,PASS,,qwen-plus,2026-08-20T16:02:40+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_github_002,1,single_source,robot_urdf,P1,EN,github,robot_urdf,检索 GitHub 上的 Franka Panda URDF 模型,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T16:02:17+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_github_003,1,single_source,dataset,P1,EN,github,dataset,检索 YCB 抓取数据集,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:26:07+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_github_004,1,single_source,policy,P1,EN,github,policy_model,检索抓取策略权重仓库,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:26:45+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
ss_github_005,1,single_source,sensor,P2,EN,github,sensor_data,检索机械臂关节数据集,C,C,已判定,PASS_WITH_FALLBACK,,qwen-plus,2026-08-20T15:27:18+08:00,,,0,96.0,1,2026-08-23T01:38:39+08:00
