case_id,layer,category,priority,lang,sources,req_types,target,suggested_executor,executor,status,verdict,failure_category,llm_model,executed_at,reviewer,reviewed_at,screenshot_count,completeness_pct,issue_count,updated_at
ss_arxiv_001,single_source,paper,P0,EN,arxiv,paper,检索 robot grasping 的论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-14T21:13:03,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_arxiv_002,single_source,paper,P1,EN,arxiv,paper,检索 dexterous manipulation 灵巧操作的论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:26:12,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_arxiv_003,single_source,paper,P1,EN,arxiv,paper,检索 robot grasping 仿真的论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:26:30,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_arxiv_004,single_source,paper,P1,ZH,arxiv,paper,检索机器人触觉感知抓取论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:26:48,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_arxiv_005,single_source,paper,P2,EN,arxiv,paper,检索 robot grasping 综述论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:27:05,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_github_001,single_source,code,P0,EN,github,code,检索 Franka 抓取开源仓库,C,C,已复核,PASS,,qwen-plus,2026-08-14T21:14:27,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_github_002,single_source,robot_urdf,P1,EN,github,robot_urdf,检索 GitHub 上的 Franka Panda URDF 模型,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:49:42,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_github_003,single_source,dataset,P1,EN,github,dataset,检索 YCB 抓取数据集,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:30:39,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_github_004,single_source,policy,P1,EN,github,policy_model,检索抓取策略权重仓库,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T19:38:51,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_github_005,single_source,sensor,P2,EN,github,sensor_data,检索机械臂关节数据集,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T19:39:10,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_huggingface_001,single_source,dataset,P0,EN,huggingface,dataset,检索 robot grasp dataset,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-14T21:15:46,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_huggingface_002,single_source,policy,P0,ZH,huggingface,policy_model,检索 ACT 机器人操作策略,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T11:35:40,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_huggingface_003,single_source,code,P1,EN,huggingface,code,检索机器人操作代码仓库,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:31:47,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_huggingface_004,single_source,dataset,P1,ZH,huggingface,dataset,检索 robot manipulation 数据集,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:32:04,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_huggingface_005,single_source,policy,P1,ZH,huggingface,policy_model,检索灵巧操作策略权重,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T11:15:56,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_zenodo_001,single_source,dataset,P1,EN,zenodo,dataset,检索 robot grasp dataset,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:34:31,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_zenodo_002,single_source,sensor,P2,ZH,zenodo,sensor_data,检索机械臂关节数据,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:35:43,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_zenodo_003,single_source,dataset,P1,ZH,zenodo,dataset,检索机器人操作仿真数据集,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:35:09,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_zenodo_004,single_source,sensor,P2,EN,zenodo,sensor_data,检索机械臂力觉传感器数据,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T10:36:00,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_zenodo_005,single_source,dataset,P1,EN,zenodo,dataset,检索抓取姿态标注数据集,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:35:37,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
ss_paperswithcode_001,single_source,paper,P1,EN,paperswithcode,paper,检索 grasp detection 相关论文,C,C,已复核,PASS_WITH_FALLBACK,,qwen-plus,2026-08-15T08:27:23,A,2026-08-17T23:17:17+08:00,8,100.0,0,2026-08-20T00:46:52+08:00
